;Particle;Position;Coordinates;Saturated;Intensity;Fluorescence time series;Fluorescence rate;Fluorescence increase;Saturated rate;Fluorescence rate err
0;1;0;(3.581967213114754, 15.0);0;18772.759689922485;"[  443.28682171   528.74418605   452.11627907  1324.55813953
  4762.23255814  6469.58139535  8771.49612403 10312.5503876
  5669.18604651  7355.14728682 11319.72868217 10650.56589147
 13980.54263566 12781.82170543 10980.31782946  4775.31007752
 12324.47286822 12306.76744186  7869.43410853 12032.00775194
 10183.34108527  8936.17054264]";1.1999355514558223;10009.166122453402;0.0;0.5841319865463049
1;2;0;(3.2719298245614037, 286.0701754385965);0;18661.259999999995;"[ -643.18  -684.56  -957.2   -836.42  -369.98  2944.28  6267.54  6254.46
 11277.1   9282.86  9883.1  10701.16 15280.58 11161.34  8686.82  7440.06
  6379.98 12115.54  8344.74  6666.46 10669.8   7143.94]";0.8191173797942851;10403.136060024235;0.0;0.3493008448978179
2;3;0;(3.581967213114754, 307.0);0;70773.86440677966;"[-1952.3220339  -1773.52542373 -1811.62711864 -2258.93220339
  8576.03389831 18662.98305085 22581.18644068 24778.52542373
 19147.6440678  20868.3559322  23410.06779661 22792.37288136
 39328.6779661  29321.77966102 32822.77966102 24612.52542373
 33845.55932203 26916.76271186 29317.94915254 24499.06779661
 20611.61016949 33645.01694915]";1.1567015536348233;30177.362728806835;0.0;0.35849724674392813
3;4;0;(3.581967213114754, 337.0);0;77400.0;"[-1066. -1162. -1149.  -816. 11430. 19685. 20334. 20779. 24664. 26177.
 24835. 28026. 37784. 25921. 29159. 32486. 27465. 27156. 24511. 28362.
 28231. 26016.]";1.074898739410286;29466.265950358782;0.0;0.22321803426386785
4;5;0;(4.08029197080292, 187.0);0;11634.208333333336;"[-1.46216667e+02 -1.95375000e+02 -5.20000000e+00 -4.92250000e+01
  6.52965833e+03  1.43345833e+03  5.77214167e+03  9.65694167e+03
  6.91010000e+03  6.25048333e+03  4.06783333e+03  1.03865833e+04
  5.71185000e+03  8.04237500e+03  7.96945000e+03  8.11722500e+03
  3.10710833e+03  4.03410833e+03  2.80962500e+03  8.92083333e+03
  8.76467500e+03  4.73147500e+03]";0.5570648650843394;6615.404048966418;0.0;0.5026459725562616
5;6;0;(4.0, 411.97777777777776);0;121504.0;"[ -557.08695652  -621.52173913  -444.17391304  -424.52173913
 27362.47826087 34094.95652174 50795.7826087  50958.43478261
 59714.08695652 50705.91304348 61052.39130435 59697.91304348
 72016.65217391 51852.39130435 54509.17391304 56378.08695652
 58970.91304348 62401.         58987.39130435 63437.91304348
 60247.39130435 63264.73913043]";0.9661622983018955;60787.316166025026;0.0;0.14881262515072433
6;7;0;(4.578947368421052, 156.0);0;5702.411764705877;"[ -476.05882353  -331.29411765  -586.47058824  -607.41176471
  -564.29411765  1537.58823529  -609.35294118 -2666.76470588
 -2094.41176471 -3436.76470588 -2046.76470588 -3940.11764706
 -1770.82352941  2930.70588235 -4878.64705882 -2322.64705882
 -3961.70588235 -5157.58823529  1207.05882353 -4486.47058824
  -558.47058824   -48.29411765]";0.014085546062147555;-2044.123669804317;0.0;inf
7;8;0;(4.225563909774436, 553.5714285714286);0;48511.999999999985;"[11559. 11682. 11708. 13361. 30507. 34966. 35514. 36303. 39119. 43158.
 44377. 42188. 45703. 46126. 45115. 47797. 46960. 48985. 48634. 50832.
 50921. 49945.]";1.6514600429455961;36594.59959123307;0.0;0.244973946103323
8;9;0;(4.109243697478991, 746.9579831932773);0;22603.99999999999;"[-1061.25 -1333.75 -1057.5   -853.25  1567.    5459.75  8608.75  6269.25
  2293.75  7565.    7109.75  5629.25 12089.75  3809.75  4433.5   9660.25
  6465.75  5142.5   6524.5   9042.75  7970.    9420.25]";0.7908118753253853;8298.500968078293;0.0;0.4497744057764965
9;10;0;(4.578947368421052, 792.0);0;-1156.400000000005;"[-2870.4 -2763.6 -2650.6 -3210.8 -5004.4 -1150.6 -3968.4 -3748.2 -2170.2
 -5839.2 -3354.6 -4126.6 -3351.2 -4673.4 -5278.8 -3097.8 -4679.2 -5288.
 -8307.8 -5851.4 -7329.6 -3822.6]";12.835392399120371;-6745.486945713781;0.0;72.97565358430478
10;11;0;(4.5, 913.98);0;86584.08163265303;"[-1906.57142857 -1927.20408163 -1758.7755102  -1902.69387755
 12401.2244898  18671.26530612 22947.73469388 25353.40816327
 25755.44897959 27333.06122449 27167.04081633 26685.75510204
 48842.81632653 32720.97959184 34146.87755102 37586.53061224
 35168.06122449 34566.89795918 35355.40816327 36208.12244898
 32488.28571429 29509.28571429]";1.484457404658618;36763.62433087322;0.0;0.36925543665386773
11;12;0;(5.00763358778626, 125.56488549618321);0;238.1384615384584;"[ -905.14615385  -620.26923077  -747.23076923  -778.06153846
 -1756.17692308 -3911.46923077   231.46153846  3799.69230769
  2143.53076923  1039.27692308 -2089.20769231  1400.
 -1244.10769231  2768.63076923  -370.16923077  -504.58461538
  -370.29230769 -2832.23076923  5461.33076923  3732.74615385
  3249.19230769   968.34615385]";0.20035291439926609;2077.421445170124;0.0;0.4213485355956913
12;13;0;(5.13939393939394, 997.0);0;15469.040816326522;"[-1295.28571429 -1266.2244898  -1169.18367347 -1381.24489796
 -1576.97959184  -221.04081633  2234.28571429  1374.3877551
  1959.08163265  6472.91836735   790.87755102  2365.63265306
  4263.14285714  7646.67346939  1550.69387755  6133.79591837
  6626.04081633  3101.2244898   4775.46938776  4608.57142857
  2910.48979592  1439.79591837]";1.1385559613178888;5452.631852154261;0.0;0.967879331341431
